time,stage,stage_name,active_motor,alpha_deg,beta_deg,x1,y1,z1,Bx1,By1,x2,y2,z2,Bx2,By2,x3,y3,z3,Bx3,By3
0.0,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,0.01842442408769968,-0.023675738574257654
0.05,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,0.010206463013768066,-0.028210425603818607
0.1,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,0.000989422227439504,-0.029983679621685005
0.15,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.008324470100220855,-0.02882192216960085
0.2,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.016823505294477938,-0.02483887416141627
0.25,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.023675738574257657,-0.018424424087699672
0.3,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.028210425603818607,-0.01020646301376806
0.35,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.029983679621685005,-0.0009894222274394993
0.4,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.028821922169600847,0.00832447010022086
0.45,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.02483887416141627,0.016823505294477934
0.5,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.018424424087699676,0.023675738574257657
0.55,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.010206463013768062,0.028210425603818607
0.6,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,-0.0009894222274395008,0.029983679621685005
0.65,0,Close gripper,3,71.05,-33.16,0,0.0345,-0.038310000000000004,0.03,0.0,0.018916046546964778,0.028005141800388413,-0.057780000000000005,0.028374069820447167,-0.009742287299417382,0.031198995938764566,0.012221316084216644,-0.038310000000000004,0.008324470100220858,0.02882192216960085
